id;start_date;end_date;language
1;2021-03-16T09:48:15;2021-03-16T07:38:30;SPANISH
2;2021-03-15T14:38:26;2021-03-16T09:42:51;SPANISH
3;2021-03-16T05:33:45;2021-03-15T16:07:54;FRENCH
4;2021-03-15T20:51:16;2021-03-16T08:22:42;FRENCH
5;2021-03-16T06:21:34;2021-03-16T11:08:33;FRENCH
6;2021-03-16T00:13:55;2021-03-16T12:22:09;FRENCH
7;2021-03-16T01:59:15;2021-03-15T19:50:06;FRENCH
8;2021-03-16T00:55:28;2021-03-16T11:11:36;SPANISH
9;2021-03-15T23:36:37;2021-03-15T20:18:00;SPANISH
10;2021-03-16T07:48:41;2021-03-15T18:23:11;SPANISH
